"","SiteName","SiteID","ReleaseDate","ReleaseTime","gNaCl","gCLeachate","MinFrom0","SampleDate","SampleTime","SpC.us.cm","pH","TempH2O.C","Syringe","V.H2O.mL","V.Air.mL","Alk.ID","DOC.ID","NOTES","DOC","Delta"
"14","Creston","Above0","8/9/19",10:15:00,400,88,NA,"8/9/19",09:45:00,NA,NA,NA,"VT002",70,70,NA,NA,NA,NA,NA
"15","Creston","Above0","8/9/19",10:15:00,400,88,NA,"8/9/19",09:45:00,NA,NA,NA,"VT005",70,70,NA,NA,NA,NA,NA
"16","Creston","Above0","8/9/19",10:15:00,400,88,NA,"8/9/19",11:05:00,NA,NA,NA,"VT032",70,70,NA,NA,NA,NA,NA
"17","Creston","Above0","8/9/19",10:15:00,400,88,NA,"8/9/19",11:35:00,NA,NA,NA,"VT006",70,70,NA,NA,NA,NA,NA
"18","Creston","Above0","8/9/19",10:15:00,400,88,NA,"8/9/19",12:18:00,NA,NA,NA,"VT038",70,70,NA,NA,NA,NA,NA
"19","Creston","Above0","8/9/19",10:15:00,400,88,NA,"8/9/19",13:15:00,NA,NA,NA,"VT015",70,70,NA,NA,NA,NA,NA
"20","Creston","Above0","8/9/19",10:15:00,400,88,NA,"8/9/19",14:20:00,NA,NA,NA,"VT023",70,70,NA,NA,NA,NA,NA
"21","Creston","Above0","8/9/19",10:15:00,400,88,NA,"8/9/19",15:17:00,NA,NA,NA,"VT020",70,70,NA,NA,NA,NA,NA
"22","Creston","Above0","8/9/19",10:15:00,400,88,NA,"8/9/19",16:10:00,NA,NA,NA,"VT018",70,70,NA,NA,NA,NA,NA
"23","Creston","Above0","8/9/19",10:15:00,400,88,NA,"8/9/19",18:44:45,NA,NA,NA,"U014",70,70,"D2260",NA,NA,NA,NA
"24","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",11:25:00,654,7.8,"NotEntered","U024",70,70,"D1276","A074",NA,NA,NA
"25","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",11:30:00,653,7.81,"NotEntered","U026",70,70,NA,"A042",NA,NA,NA
"26","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",11:35:00,654,7.82,"NotEntered","U023",70,70,"D1359","A064",NA,NA,NA
"27","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",11:40:20,655,7.83,"NotEntered","U029",70,70,NA,"A065",NA,NA,NA
"28","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",11:43:00,656,7.84,"NotEntered","U021",70,70,"D1344","A029",NA,NA,NA
"29","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",11:46:00,657,7.84,"NotEntered","U030",70,70,NA,"A054",NA,NA,NA
"30","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",11:49:00,659,7.85,"NotEntered","U020",70,70,"D2113","A086",NA,NA,NA
"31","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",11:52:00,661,7.86,"NotEntered","U025",70,70,NA,"A016",NA,NA,NA
"32","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",11:55:00,663,7.86,"NotEntered","U036",70,70,"D1292","A078",NA,NA,NA
"33","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",11:58:00,666,7.87,"NotEntered","U031",70,70,NA,"A079",NA,NA,NA
"34","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",12:01:00,669,7.87,"NotEntered","U033",70,70,"D1323","A090",NA,NA,NA
"35","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",12:04:06,672,7.88,"NotEntered","U035",70,70,NA,"A102",NA,NA,NA
"36","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",12:07:05,675,7.89,"NotEntered","U022",70,70,"D1343","A091",NA,NA,NA
"37","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",12:10:05,678,7.89,"NotEntered","U010",70,70,NA,"A114",NA,NA,NA
"38","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",12:13:00,680,7.9,"NotEntered","U008",70,70,"D1230","A126",NA,NA,NA
"39","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",12:16:00,682,7.9,"NotEntered","U017",70,70,NA,"A103",NA,NA,NA
"40","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",12:21:00,685,7.91,"NotEntered","U045",70,70,"D1338","A104",NA,NA,NA
"41","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",12:26:05,686,7.92,"NotEntered","U009",70,70,NA,"A115","closed stopcock wrong way when adding headspace",NA,NA
"42","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",12:36:00,687,7.94,"NotEntered","U013",70,70,"D2261","A080",NA,NA,NA
"43","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",12:46:00,687,7.96,"NotEntered","U018",70,70,NA,"A092",NA,NA,NA
"44","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",12:56:00,682,7.98,"NotEntered","U012",70,70,"D1212","A127",NA,NA,NA
"45","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",13:16:00,668,8.01,"NotEntered","U001",70,70,NA,"A128",NA,NA,NA
"46","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",13:36:00,657,8.02,"NotEntered","U004",70,70,"D1211","A139","see field book RE: cond jump",NA,NA
"47","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",13:56:00,673,8.04,"NotEntered","U015",70,70,NA,"A093",NA,NA,NA
"48","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",14:16:00,668,8.05,"NotEntered","U002",70,70,"D2016","A081",NA,NA,NA
"49","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",14:36:00,664,8.06,"NotEntered","U005",70,70,NA,"A105",NA,NA,NA
"50","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",14:56:00,659,8.08,"NotEntered","U011",70,70,"D1311","A117",NA,NA,NA
"51","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",16:00:00,651,8.1,"NotEntered","U019",70,70,"D2347","A116",NA,NA,NA
"52","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",18:50:30,689,NA,"NotEntered","U007",70,70,"D2356","A141",NA,NA,NA
"53","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/9/19",21:05:35,699,NA,"15.5","VT045",70,70,NA,"A129","stopcock sucks",NA,NA
"54","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/10/19",08:59:15,702,NA,"13.4","U008",70,70,NA,"A144","double-check DOC ID",NA,NA
"55","Creston","Down","8/9/19",10:15:00,400,88,NA,"8/10/19",16:55:00,NA,NA,NA,"U033",70,70,NA,"A140","sample time is rough estimate",NA,NA
"56","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",10:18:00,702,NA,"NotEntered","U040",70,70,"D2306","A053",NA,7.61,-28.295
"57","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",10:18:00,702,NA,"NotEntered","U041",70,70,NA,"A028",NA,6.72,-27.113
"58","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",10:25:00,701,NA,"NotEntered","U046",70,70,NA,"A066",NA,5.51,-25.82
"59","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",10:30:00,702,NA,"NotEntered","U039",70,70,NA,"A133",NA,4.04,-26.335
"60","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",10:40:00,702,NA,"NotEntered","U032",70,70,"D2330","A134",NA,7.96,-27.643
"61","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",10:45:00,702,NA,"NotEntered","U043",70,70,NA,"A087",NA,5.43,-26.475
"62","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",10:49:00,701,NA,"NotEntered","U048",70,70,NA,"A099",NA,4.09,-13.701
"63","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",10:52:00,702,NA,"NotEntered","U047",70,70,"D1179","A111",NA,5.53,21.308
"64","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",10:55:10,704,NA,"NotEntered","U050",70,70,NA,"A123",NA,9.77,67.655
"65","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",10:58:00,705,NA,"NotEntered","U027",70,70,NA,"A135",NA,8.37,228.087
"66","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:01:00,716,NA,"NotEntered","U049",70,70,"D1264","A124",NA,7.52,413.245
"67","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:04:00,725,NA,"NotEntered","U032",70,70,NA,"A136",NA,6.29,698.934
"68","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:07:00,737,NA,"NotEntered","U042",70,70,NA,"A112","Found open to atm, added hs and ran, but may need to toss",NA,NA
"69","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:10:00,750,NA,"NotEntered","U044",70,70,"D1290","A100",NA,NA,NA
"70","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:13:00,763,NA,"NotEntered","U038",70,70,NA,"A088",NA,NA,NA
"71","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:16:00,773,NA,"NotEntered","VT036",70,70,"D2268","A076","ALK AT 11:17:10",NA,NA
"72","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:19:00,776,NA,"NotEntered","VT010",70,70,NA,"A137",NA,NA,NA
"73","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:22:00,780,NA,"NotEntered","VT031",70,70,"D1341","A125",NA,NA,NA
"74","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:25:00,785,NA,"NotEntered","VT035",70,70,NA,"A113",NA,NA,NA
"75","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:28:00,786,NA,"NotEntered","VT041",70,70,"D1322","A101",NA,NA,NA
"76","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:31:00,787,NA,"NotEntered","VT046",70,70,NA,"A089",NA,NA,NA
"77","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:35:00,786,NA,"NotEntered","VT050",70,70,"D1887","A077",NA,NA,NA
"78","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:40:00,782,NA,"NotEntered","VT042",70,70,NA,"A138",NA,NA,NA
"79","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:50:00,772,NA,"NotEntered","VT026",70,70,NA,"A122",NA,NA,NA
"80","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:45:00,777,NA,"NotEntered","VT021",70,70,"D1217","A098",NA,NA,NA
"81","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",11:55:00,766,NA,"NotEntered","VT009",70,70,"D1325","A121",NA,NA,NA
"82","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",12:01:00,759,NA,"NotEntered","VT047",70,70,NA,"A110",NA,NA,NA
"83","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",12:05:00,755,NA,"NotEntered","VT024",70,70,NA,"A004",NA,NA,NA
"84","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",12:10:00,750,NA,"NotEntered","VT013",70,70,"D1297","A109",NA,NA,NA
"85","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",12:15:00,746,NA,"NotEntered","VT025",70,70,NA,"A085",NA,NA,NA
"86","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",12:20:00,742,NA,"NotEntered","VT027",70,70,"D1348","A097",NA,NA,NA
"87","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",12:30:00,735,NA,"NotEntered","VT017",70,70,NA,"A041",NA,NA,NA
"88","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",12:40:00,728,NA,"NotEntered","VT043",70,70,"D1189","A075",NA,NA,NA
"89","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",12:50:00,722,NA,"NotEntered","VT028",70,70,NA,"A073",NA,NA,NA
"90","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",13:00:00,718,NA,"NotEntered","VT040",70,70,NA,"A025",NA,NA,NA
"91","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",13:20:00,713,NA,"NotEntered","VT034",70,70,"D1879","A082",NA,NA,NA
"92","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",13:40:00,708,NA,"NotEntered","VT011",70,70,NA,"A083",NA,NA,NA
"93","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",14:00:00,705,NA,"NotEntered","VT029",70,70,NA,"A084",NA,NA,NA
"94","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",14:30:00,700,NA,"NotEntered","VT001",70,70,NA,"A094",NA,NA,NA
"95","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",15:00:00,NA,NA,"NotEntered","VT033",70,70,"D1310","A095",NA,NA,NA
"96","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",16:00:00,NA,NA,"NotEntered","VT007",70,70,"D2084","A096",NA,NA,NA
"97","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",18:47:20,694,NA,"15.5","U003",70,70,"D1307","A132",NA,NA,NA
"98","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/9/19",21:03:10,702,NA,"14.6","U016",70,70,NA,"A142",NA,NA,NA
"99","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/10/19",09:01:15,703,NA,"12.9","U006",70,70,NA,"A118","sealed w/ gum on drive home before transfer into syring with stopcock",NA,NA
"100","Creston","Up","8/9/19",10:15:00,400,88,NA,"8/10/19",16:55:00,NA,NA,NA,"U005",70,70,NA,"A131","sample time is rough estimate",NA,NA
