SiteName,SiteID,ReleaseDate,ReleaseTime,gNaCl,gGlucose,SampleDate,SampleTime,SpC.us.cm,TempH2O.C,pH,Syringe,ALK.ID,DOC.ID,NOTES
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:31:00,204.7,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:32:00,204.9,12.9,7.92,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:33:00,205.2,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:34:00,205.4,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:35:00,205.7,12.9,7.92,VT005,D1205,B018,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:36:00,205.9,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:37:00,206.2,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:38:00,205.9,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:39:00,205.9,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:40:00,206.1,12.9,7.93,VT002,NA,WW020,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:41:00,206.2,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:42:00,206.2,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:43:00,206.3,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:44:00,206.3,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:45:00,206.3,12.9,7.93,VT025,D1210,A120,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:46:00,206.3,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:47:00,206.3,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:48:00,206.2,12.9,7.94,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:49:00,206.2,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:50:00,206.1,12.9,7.94,VT027,NA,B010,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:51:00,205.9,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:52:00,205.9,12.9,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:53:00,205.7,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:54:00,205.6,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:55:00,205.5,13,7.94,VT019,D1306,WW017,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,13:57:00,205.2,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:00:00,204.9,13,7.94,VT007,NA,B013,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:05:00,204.4,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:10:00,204,13,7.95,VT040,D1255,B006,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:15:00,203,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:20:00,203.1,13,7.96,VT033,NA,K001,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:25:00,202.2,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:30:00,201.3,13,7.97,VT033,D1259,NA,no DOC ID listed
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:40:00,199.6,13,7.97,VT035,NA,K003,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:45:00,199,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:49:00,198.6,13,7.97,VT045,D1251,K004,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,14:55:00,197.8,13,7.98,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:00:00,197.2,13,7.98,VT013,NA,WW034,last letter in DOC ID was cut off but looked like it could be 4
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:05:00,196.8,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:12:00,196.2,13,7.98,VT032,NA,D002,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:15:00,196,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:20:00,195.5,13,7.98,U003,D1196,D010,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:25:00,195.2,13,NA,NA,NA,NA,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:30:00,194.8,13.1,7.99,U036,NA,D004,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,15:45:00,193.8,13.1,7.99,U008,D1346,D003,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,16:00:00,193.1,13.1,7.99,VT030,NA,NA,no DOC ID listed
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,16:30:00,192.2,13.1,8,VT029,NA,NA,no DOC ID listed
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,17:00:00,191.7,13,8.01,U041,D1182,D009,NA
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,17:30:00,191.2,12.9,8.01,VT050,NA,NA,no DOC ID listed
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,18:00:00,190.7,12.9,8.01,VT038,NA,NA,no DOC ID listed
NyackSC,Down,8/12/19,11:05:00,10200,9,8/12/19,19:00:00,190,12.9,8.01,VT026,D1274,D001,NA
NyackSC,Above0,8/12/19,11:05:00,10200,9,8/12/19,18:30:00,NA,NA,NA,VT047,NA,D007,sample time is approximate
