SiteName,WellID,Date,ReleaseTime0,MinFrom0,SampleTime,EC.ms.cm,pH,TempH2O.C,SyringeID,V.H2O.mL,V.Air.mL,Alk.ID,DOC.ID,EndGasSample,NOTES,CO2,delCO2
MovieRd,Down01,8/6/19,11:10:00,188,14:18:10,0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,189,14:19:40,0.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,191,14:21:10,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,192,14:21:30,0.302,7.29,NA,VT020,70,70,D1175,39,14:22:40,gas sample lost,,
MovieRd,Up,8/6/19,11:10:00,197,14:27:00,0.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,198,14:28:00,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,199,14:29:20,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,200,14:30:12,0.383,7.34,NA,VT028,70,70,NA,18,14:32:50,NA,,
MovieRd,Up,8/6/19,11:10:00,204,14:34:10,0.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,205,14:35:40,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,206,14:36:10,0.421,7.44,13.3,VT017,70,70,NA,26,14:37:40,ALK/DIC sample may have been taken but no sample ID was given before sample was put in cooler,2327.641181,-1.921754756
MovieRd,Down01,8/6/19,11:10:00,209,14:39:40,0.247,NA,13.4,,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,210,14:40:50,0.256,NA,12.8,,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,212,14:42:20,0.273,NA,12.8,,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,214,14:43:30,0.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,215,14:44:50,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,216,14:46:00,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,217,14:47:20,0.303,7.36,NA,VT005,70,70,D1308,25,14:49:00,NA,2881.765942,-12.26563127
MovieRd,Down01,8/6/19,11:10:00,238,15:08:00,0.272,NA,NA,,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,239,15:09:00,0.254,NA,13.7,,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,240,15:10:00,0.264,NA,13,,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,242,15:11:30,0.278,NA,13,,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,243,15:13:10,0.288,NA,13,,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,244,15:14:40,0.29,NA,13,,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,246,15:16:00,0.293,NA,13,,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,247,15:17:25,0.293,NA,13,VT033,70,70,D2126,31,15:19:00,NA,559.2648807,-14.25285844
MovieRd,Up,8/6/19,11:10:00,252,15:21:30,0.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,253,15:23:00,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,255,15:24:30,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,256,15:26:00,0.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,257,15:27:15,0.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,258,15:28:20,0.357,7.47,13.4,VT031,70,70,D1183,37,15:29:50,NA,607.0609511,-7.25561905
MovieRd,Down01,8/6/19,11:10:00,273,15:42:50,0.267,7,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,274,15:44:10,0.248,7.41,13.1,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,276,15:45:50,0.259,NA,13.1,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,278,15:47:50,0.263,7.43,13.4,VT018,70,70,D2320,38,15:49:10,NA,3217.38348,-14.00122918
MovieRd,Down02,8/6/19,11:10:00,288,15:57:30,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down02,8/6/19,11:10:00,290,15:59:40,0.209,7.21,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down02,8/6/19,11:10:00,291,16:01:00,0.208,7.23,12.1,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down02,8/6/19,11:10:00,293,16:02:30,0.208,7.23,12.1,VT014,70,70,D2228,36,16:06:10,NA,1195.840986,-15.99795648
MovieRd,Up,8/6/19,11:10:00,304,16:14:10,0.261,7.3,NA,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,305,16:15:03,0.279,7.49,14.3,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,308,16:18:00,0.291,7.48,14.3,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Up,8/6/19,11:10:00,310,16:19:30,0.291,7.43,14.3,VT036,70,70,NA,27,16:22:20,NA,2505.528685,-7.158198809
MovieRd,Down01,8/6/19,11:10:00,323,16:32:50,0.241,7.45,13.3,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,325,16:34:40,0.246,7.45,13.6,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,326,16:36:00,0.254,7.44,13.1,NA,NA,NA,NA,NA,NA,NA,,
MovieRd,Down01,8/6/19,11:10:00,327,16:36:55,0.254,7.44,13.1,VT021,70,70,NA,40,16:38:50,NA,2975.341829,-14.86763405
Air,NA,8/7/19,NA,NA,NA,NA,NA,13.5,VT049,70,70,NA,NA,NA,NA,438.8037035,-10.14748254
Air,NA,8/7/19,NA,NA,NA,NA,NA,13.5,VT002,70,70,NA,NA,NA,NA,429.44137,-9.633711483
Air,NA,8/7/19,NA,NA,NA,NA,NA,13.5,VT043,70,70,NA,NA,NA,NA,461.0805024,-10.45806965
Air,NA,8/7/19,NA,NA,NA,NA,NA,13.5,VT010,70,70,NA,NA,NA,NA,424.0376518,-8.959526696
Air,NA,8/7/19,NA,NA,NA,NA,NA,13.5,VT042,70,70,NA,NA,NA,NA,451.7191568,-10.30579777
Air,NA,8/7/19,NA,NA,NA,NA,NA,13.5,VT025,70,70,NA,NA,NA,NA,420.588406,-9.247701635
