,Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2,delCO2,CH4,delCH4,
25,VT026,70,70,20.5,8/15/2019 22:15,8/15/2019 22:15,25,8/15/2019 22:15,1911.642129,-10.30946758,5.420692626,-59.16509409,
26,VT036,70,70,20.5,8/15/2019 22:17,8/15/2019 22:17,26,8/15/2019 22:17,2227.038704,-12.24842958,4.694800153,-61.3586444,
27,VT005,70,70,20.5,8/15/2019 22:19,8/15/2019 22:19,27,8/15/2019 22:20,1776.714692,-13.37950281,3.745864851,-57.90546608,
28,U031,70,70,20.5,8/15/2019 22:22,8/15/2019 22:22,28,8/15/2019 22:22,1945.143767,-14.37881577,3.89636187,-63.33360077,
29,VT047,70,70,20.5,8/15/2019 22:24,8/15/2019 22:24,29,8/15/2019 22:24,2597.781739,-20.33386275,8.972377072,-59.1955644,
30,VT044,70,70,20.5,8/15/2019 22:26,8/15/2019 22:26,30,8/15/2019 22:27,2490.714304,-20.41783788,9.030392954,-59.41144809,
31,VT028,70,70,20.5,8/15/2019 22:28,8/15/2019 22:28,31,8/15/2019 22:29,2508.550593,-20.14785643,8.89787366,-58.96483996,
32,VT023,70,70,20.5,8/15/2019 22:30,8/15/2019 22:30,32,8/15/2019 22:31,2359.831807,-20.35222675,8.632360874,-59.29060586,
33,VT042,70,70,20.5,8/15/2019 22:33,8/15/2019 22:33,33,8/15/2019 22:33,2312.172365,-20.72533158,8.748905969,-59.26239395,
34,VT033,70,70,20.5,8/15/2019 22:35,8/15/2019 22:35,34,8/15/2019 22:36,2349.678558,-18.61246793,8.854862664,-58.52978756,
35,U042,70,70,20.5,8/15/2019 22:37,8/15/2019 22:37,35,8/15/2019 22:38,2395.398682,-18.39019468,8.515541735,-59.15058529,
36,VT038,70,70,20.5,8/15/2019 22:40,8/15/2019 22:40,36,8/15/2019 22:40,2285.587941,-14.2075604,7.88709422,-58.85593056,
37,U041,70,70,20.5,8/15/2019 22:42,8/15/2019 22:42,37,8/15/2019 22:42,2364.485853,-14.60304085,8.110068823,-58.80259069,
38,U025,70,70,20.5,8/15/2019 22:44,8/15/2019 22:44,38,8/15/2019 22:45,2222.151967,-12.00551228,7.821864729,-58.96251598,
39,VT045,70,70,20.5,8/15/2019 22:46,8/15/2019 22:46,39,8/15/2019 22:47,2320.91331,-10.54226885,8.256034161,-58.5859374,
40,U007,70,70,20.5,8/15/2019 22:49,8/15/2019 22:49,40,8/15/2019 22:49,2176.45504,-6.615172408,7.680293335,-59.30963306,
41,VT013,70,70,20.5,8/15/2019 22:51,8/15/2019 22:51,41,8/15/2019 22:51,2214.525724,-4.900457507,7.993977441,-59.00295648,
42,U018,70,70,20.5,8/15/2019 22:53,8/15/2019 22:53,42,8/15/2019 22:54,2149.343791,-4.707486025,7.643660537,-58.8375339,
43,U012,70,70,20.5,8/15/2019 22:56,8/15/2019 22:56,43,8/15/2019 22:56,2324.790545,-3.335808563,7.865510944,-60.61411478,
44,VT032,70,70,20.5,8/15/2019 22:58,8/15/2019 22:58,44,8/15/2019 22:59,2188.549179,-0.705137391,7.527102038,-59.02535759,
45,VT001,70,70,20.5,8/15/2019 23:02,8/15/2019 23:02,45,8/15/2019 23:02,1434.860394,-4.409619762,4.704790472,-57.13541094,
46,U003,70,70,20.5,8/15/2019 23:04,8/15/2019 23:04,46,8/15/2019 23:05,2059.772729,-0.621622462,7.315493033,-58.03857266,
47,U048,70,70,20.5,8/15/2019 23:07,8/15/2019 23:07,47,8/15/2019 23:07,2003.415122,1.659581391,6.878332593,-58.50927816,
48,VT018,70,70,20.5,8/15/2019 23:09,8/15/2019 23:09,48,8/15/2019 23:09,2137.062606,-0.505872994,7.103312674,-58.27084987,
49,VT030,70,70,20.5,8/15/2019 23:11,8/15/2019 23:11,49,8/15/2019 23:12,1944.485989,0.363220589,6.981122586,-58.54267138,
50,VT029,70,70,20.5,8/15/2019 23:14,8/15/2019 23:14,50,8/15/2019 23:14,1974.446328,0.62806371,6.904920645,-58.30302505,
51,VT027,70,70,20.5,8/15/2019 23:16,8/15/2019 23:16,51,8/15/2019 23:16,2082.05889,-1.620253945,6.892336498,-58.88407962,
52,U008,70,70,20.5,8/15/2019 23:18,8/15/2019 23:18,52,8/15/2019 23:19,1895.660739,-0.305250658,6.741159163,-58.60142669,
53,U013,70,70,20.5,8/15/2019 23:20,8/15/2019 23:20,53,8/15/2019 23:21,1993.746536,-1.569356415,6.388134128,-58.97675573,
54,U043,70,70,20.5,8/15/2019 23:22,8/15/2019 23:22,54,8/15/2019 23:23,1869.276305,-1.595336967,6.407850511,-58.29776481,
55,VT012,70,70,20.5,8/15/2019 23:25,8/15/2019 23:25,55,8/15/2019 23:25,1915.813224,-0.919223486,6.477772425,-58.28922748,
56,U001,70,70,20.5,8/15/2019 23:27,8/15/2019 23:27,56,8/15/2019 23:28,1977.929934,-2.231681781,6.037523196,-58.28186209,
57,VT017,70,70,20.5,8/15/2019 23:29,8/15/2019 23:29,57,8/15/2019 23:30,2298.997205,-23.2042711,9.760280204,-57.71754311,
58,124,70,70,20.5,8/15/2019 23:31,8/15/2019 23:31,58,8/15/2019 23:32,3100.453124,-22.14438562,8.381059054,-56.34318392,
59,127,70,70,20.5,8/15/2019 23:34,8/15/2019 23:34,59,8/15/2019 23:34,2664.920401,-22.65029582,9.417880835,-56.74192681,
60,96,70,70,20.5,8/15/2019 23:36,8/15/2019 23:36,60,8/15/2019 23:36,2435.049218,-21.52432256,8.554341685,-56.63866011,
61,13,70,70,20.5,8/15/2019 23:38,8/15/2019 23:38,61,8/15/2019 23:39,2456.203017,-20.91712258,8.547495491,-56.62667415,
62,9,70,70,20.5,8/15/2019 23:40,8/15/2019 23:40,62,8/15/2019 23:41,3024.007236,-22.10336043,7.960243966,-57.56889672,
63,24,70,70,20.5,8/15/2019 23:43,8/15/2019 23:43,63,8/15/2019 23:43,2944.984036,-21.34939122,7.916423721,-56.77127177,
64,27,70,70,20.5,8/15/2019 23:45,8/15/2019 23:45,64,8/15/2019 23:45,3169.54535,-21.86089897,8.057426749,-57.38860725,
65,129,70,70,20.5,8/15/2019 23:47,8/15/2019 23:47,65,8/15/2019 23:47,2489.199605,-21.37826533,8.407225927,-56.31239807,
66,26,70,70,20.5,8/15/2019 23:49,8/15/2019 23:49,66,8/15/2019 23:50,3011.918117,-21.31511676,7.641592283,-57.08948232,
67,2,70,70,20.5,8/15/2019 23:52,8/15/2019 23:52,67,8/15/2019 23:52,2962.492206,-22.24146747,8.20380884,-57.22181208,
68,10,70,70,20.5,8/15/2019 23:54,8/15/2019 23:54,68,8/15/2019 23:54,2570.320245,-22.54018728,9.055877406,-57.30385023,
69,90,70,70,20.5,8/15/2019 23:56,8/15/2019 23:56,69,8/15/2019 23:56,2629.692337,-22.13545116,9.414527353,-56.54987285,
