,Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2,delCO2,CH4,delCH4
42,VT021,70,70,22,8/9/19 22:17,8/9/19 22:17,42,8/9/19 22:18,2615.590639,3.165987491,8.402512791,-60.8620546
43,VT026,70,70,22,8/9/19 22:19,8/9/19 22:19,43,8/9/19 22:20,2499.100202,2.018757994,7.679880312,-60.23697316
44,VT009,70,70,22,8/9/19 22:22,8/9/19 22:22,44,8/9/19 22:23,2460.330923,0.852985239,7.747664255,-60.74880893
45,VT047,70,70,22,8/9/19 22:25,8/9/19 22:25,45,8/9/19 22:25,2513.726438,-0.161292558,7.992128294,-60.71550854
46,VT024,70,70,22,8/9/19 22:27,8/9/19 22:27,46,8/9/19 22:27,2448.739934,-1.354976629,7.716821952,-60.56016489
47,VT013,70,70,22,8/9/19 22:29,8/9/19 22:29,47,8/9/19 22:30,2383.03296,-2.40275405,8.184838146,-60.66125759
48,VT025,70,70,22,8/9/19 22:32,8/9/19 22:32,48,8/9/19 22:32,2285.685818,-3.907910505,8.007951913,-60.18072182
49,VT027,70,70,22,8/9/19 22:34,8/9/19 22:34,49,8/9/19 22:34,2329.001124,-4.744274987,8.280959755,-60.10677169
50,VT017,70,70,22,8/9/19 22:36,8/9/19 22:36,50,8/9/19 22:37,2232.578573,-6.911186883,7.98725533,-60.12719911
51,VT043,70,70,22,8/9/19 22:38,8/9/19 22:38,51,8/9/19 22:39,2229.526485,-7.964645929,7.906616036,-60.18277754
52,VT028,70,70,22,8/9/19 22:41,8/9/19 22:41,52,8/9/19 22:41,2184.758435,-8.866395888,7.711210583,-59.77245599
53,VT040,70,70,22,8/9/19 22:43,8/9/19 22:43,53,8/9/19 22:44,2083.142939,-10.37068969,7.2171245,-59.65697728
54,U024,70,70,22,8/9/19 22:46,8/9/19 22:46,54,8/9/19 22:46,2702.044154,-21.90118364,8.748916359,-57.98858771
55,U026,70,70,22,8/9/19 22:48,8/9/19 22:48,55,8/9/19 22:49,3041.751111,-21.95040418,8.820019916,-58.23321377
56,U023,70,70,22,8/9/19 22:50,8/9/19 22:50,56,8/9/19 22:51,2540.315334,-22.41324975,8.785362542,-58.30239399
57,U029,70,70,22,8/9/19 22:53,8/9/19 22:53,57,8/9/19 22:53,2667.814423,-22.04874207,8.642199806,-58.03595726
58,U021,70,70,22,8/9/19 22:55,8/9/19 22:55,58,8/9/19 22:56,2568.563454,-19.90155276,8.762386227,-57.74403716
59,U030,70,70,22,8/9/19 22:57,8/9/19 22:57,59,8/9/19 22:58,2701.92105,-19.76050896,9.260135886,-57.98510603
60,U020,70,70,22,8/9/19 23:00,8/9/19 23:00,60,8/9/19 23:00,2448.595763,-19.99367297,8.860647468,-58.49517814
61,U025,70,70,22,8/9/19 23:02,8/9/19 23:02,61,8/9/19 23:03,2455.449801,-18.37147571,9.040380962,-57.28827367
62,U036,70,70,22,8/9/19 23:05,8/9/19 23:05,62,8/9/19 23:05,2485.86572,-16.81057284,8.744114623,-57.66553229
63,U031,70,70,22,8/9/19 23:07,8/9/19 23:07,63,8/9/19 23:08,2386.074816,-16.27948607,9.022256915,-58.14760389
64,U033,70,70,22,8/9/19 23:10,8/9/19 23:10,64,8/9/19 23:10,2436.248802,-15.3465031,8.999146821,-59.29068419
65,U035,70,70,22,8/9/19 23:12,8/9/19 23:12,65,8/9/19 23:13,2761.949588,-13.85767385,9.914232876,-64.13353703
66,U022,70,70,22,8/9/19 23:15,8/9/19 23:15,66,8/9/19 23:15,2590.779761,-12.81935391,9.512167569,-60.38644047
67,U010,70,70,22,8/9/19 23:17,8/9/19 23:17,67,8/9/19 23:18,2445.420295,-12.02421383,8.858382107,-59.40617265
68,U008,70,70,22,8/9/19 23:20,8/9/19 23:20,68,8/9/19 23:20,2354.65901,-10.69507938,9.117826829,-58.40768173
69,U017,70,70,22,8/9/19 23:22,8/9/19 23:22,69,8/9/19 23:22,2287.304461,-10.28836102,9.232068654,-58.33489431
70,U045,70,70,22,8/9/19 23:24,8/9/19 23:24,70,8/9/19 23:25,2379.439078,-8.924661425,9.041109262,-58.0573139
71,U009,70,70,22,8/9/19 23:27,8/9/19 23:27,71,8/9/19 23:27,2562.657663,-6.667410132,9.745831561,-59.35628588
72,U013,70,70,22,8/9/19 23:29,8/9/19 23:29,72,8/9/19 23:30,2223.808968,-6.204190375,9.096077426,-59.5195789
73,U018,70,70,22,8/9/19 23:31,8/9/19 23:31,73,8/9/19 23:32,2088.559356,-5.772246767,8.64252651,-58.35355775
74,U012,70,70,22,8/9/19 23:34,8/9/19 23:34,74,8/9/19 23:34,2182.010872,-4.953659381,8.67165752,-59.43096444
75,U001,70,70,22,8/9/19 23:36,8/9/19 23:36,75,8/9/19 23:37,2133.597831,-4.668926594,6.743567178,-59.07494764
76,U004,70,70,22,8/9/19 23:38,8/9/19 23:38,76,8/9/19 23:39,2396.545191,-6.011642958,7.327305861,-60.35099896
77,U015,70,70,22,8/9/19 23:41,8/9/19 23:41,77,8/9/19 23:42,2006.639218,-6.936570825,6.192508711,-58.51278556
78,U002,70,70,22,8/9/19 23:43,8/9/19 23:43,78,8/9/19 23:44,2199.125138,-8.914680145,6.513548148,-58.4660017
79,U005,70,70,22,8/9/19 23:46,8/9/19 23:46,79,8/9/19 23:46,1893.035561,-8.891924677,6.12094238,-58.81982253
80,U011,70,70,22,8/9/19 23:49,8/9/19 23:49,80,8/9/19 23:49,1981.864402,-10.23842519,5.777369869,-59.27483225
81,U019,70,70,22,8/9/19 23:51,8/9/19 23:51,81,8/9/19 23:52,1673.387348,-12.86573485,5.70360705,-58.76969004
82,VT023,70,70,22,8/9/19 23:54,8/9/19 23:54,82,8/9/19 23:54,2952.810467,-20.921717,7.781084639,-57.40910274
83,VT020,70,70,22,8/9/19 23:56,8/9/19 23:56,83,8/9/19 23:57,2802.347491,-21.15386543,7.422818845,-58.19590959
84,VT018,70,70,22,8/9/19 23:58,8/9/19 23:58,84,8/9/19 23:59,2767.802317,-21.16546065,7.104834585,-58.04986071
85,VT034,70,70,22,8/10/19 0:01,8/10/19 0:01,85,8/10/19 0:01,2149.713295,-10.98677303,6.396450027,-59.58944576
86,VT011,70,70,22,8/10/19 0:04,8/10/19 0:04,86,8/10/19 0:04,2034.907634,-12.53694122,6.53743436,-59.31500402
87,VT029,70,70,22,8/10/19 0:06,8/10/19 0:06,87,8/10/19 0:07,2005.717599,-13.37632822,6.085571961,-58.79850056
88,VT001,70,70,22,8/10/19 0:08,8/10/19 0:08,88,8/10/19 0:09,1977.39772,-14.05887799,6.053191759,-59.59022498
89,VT033,70,70,22,8/10/19 0:11,8/10/19 0:11,89,8/10/19 0:11,1977.546651,-15.31197628,5.907544016,-59.47869543
90,VT007,70,70,22,8/10/19 0:13,8/10/19 0:13,90,8/10/19 0:14,1881.319977,-16.82689056,6.272263704,-58.91384718
1,U006,70,70,22,8/11/19 19:46,8/11/19 19:46,1,8/11/19 19:47,2822.568104,-22.06099013,9.620639041,-69.88619623
2,U008A,70,70,22,8/11/19 19:49,8/11/19 19:49,2,8/11/19 19:49,2671.55602,-21.48924486,10.47885347,-59.01871682
3,U016,70,70,22,8/11/19 19:51,8/11/19 19:51,3,8/11/19 19:52,2710.039689,-20.62761826,6.742640287,-61.52433138
4,VT045,70,70,22,8/11/19 19:54,8/11/19 19:54,4,8/11/19 19:54,2249.621803,-18.02000364,7.65741548,-58.84506366
5,U033A,70,70,22,8/11/19 19:56,8/11/19 19:56,5,8/11/19 19:57,1772.790042,-19.12896729,5.071265657,-64.85044718
6,U005A,70,70,22,8/11/19 20:00,8/11/19 20:00,6,8/11/19 20:00,2121.132442,-20.0050055,4.128533836,-60.55262104
7,U007,70,70,22,8/11/19 20:02,8/11/19 20:02,7,8/11/19 20:02,2034.021436,-17.90062178,6.440425706,-63.93726353
8,U014,70,70,22,8/11/19 20:05,8/11/19 20:05,8,8/11/19 20:05,3313.980474,-21.96787927,7.392975158,-60.81445849
9,U003,70,70,22,8/11/19 20:07,8/11/19 20:07,9,8/11/19 20:07,2657.643526,-18.93580509,6.436571637,-64.57198539
10,U010A,70,70,22,8/11/19 20:09,8/11/19 20:09,10,8/11/19 20:10,1070.352334,-17.6687172,1.318266439,-85.80380417
11,U043A,70,70,22,8/11/19 20:12,8/11/19 20:12,11,8/11/19 20:12,883.9063536,-19.02160127,1.186094439,-72.39753035
12,U050A,70,70,22,8/11/19 20:14,8/11/19 20:14,12,8/11/19 20:15,1118.08339,-15.31085813,2.702549343,-81.69557223
